"MasterUID
ROP3_AGWM CountryCode_PEID",CrossReference,AGWM CountryCode,WAGF Region,WAGF BLOCK,WAGF MEMBER,WAGF_UID,AGWM Country Name,AGWM Area,AGWM Region,IMB UID,FID,PEID,PGID,Status,Name,NmDisp,NmAlt,ISOalpha3,Ctry,Regn,RegnSub,ROG,AffCd,Aff,PeopleDesc,LocationDe, Pop ,PopCls,EvngLvl,CongExst,Plnting,EngStat,GSEC,GSECbrf,GSEClng,SPI,SPIdesc,ROL,Lang,LangFamily,ROR,Rlgn,RORdesc,Rlgn_AGWM Region,AGWM Religion Breakdown,ROR3,RlgnBs,ROR4,RlgnDiv,ROP3,PplNm,ROP25,Ethne,ROP2,PplClstr,ROP1,Affbloc,Bible,Jesus,Radio,Gospel,Audio,Stories,ResTot,LvlBible,YrPub,PicCrdt,PicURL,Photo,Indigenous,Latitude,Longitude,Location
,,2329,Middle East,Middle East,No,2329_Yemen,Yemen,Arab World,Eurasia,,,,,Active,"Arab, Northern Yemeni",,838,YEM,Yemen,Asia,Western Asia,YM,AG200,NAME,,888,,"10,000,000+",Less than 2%,Yes,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,ayn,Sanaani Arabic,Afro-Asiatic,MSH,Islam - Shia,"Shia Islam, one of two major denominations of Islam. The followers of Shia Islam are called 'Shi'as' or 'Shiites'.",Islam - Shia_Eurasia,Islam,M,Islam,MSH,Shia Islam,108627,"Arab, Northern Yemeni",300426,"Arab, Yemeni",C0020,"Arab, Yemeni",A001,Arab World,Available,Not Available,Not Available,Available,Not Available,Not Available,2, , ,,,Y,Indigenous,,,
,,2326,Asia,South Asia,Yes,2326_Pakistan,Pakistan,Central Eurasia,Africa,,,,,,Deaf Pakistani,,40.19%,PAK,Pakistan,Africa,Southern Asia,PK,AG900,DEAF,,42.59%,,"500,000 - 999,999",No Known Evangelicals,No,Concentrated Church Planting,,0,"No Evangelicals, Churches or Resources","there are no evangelical Christians or churches among this people group and there is no access to evangelical print, audio, visual or human resources",,,pks,Pakistan Sign Language,Sign Language,MSN,Islam - Sunni,"Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.",Islam - Sunni_Eurasia,Animism,E,Ethnoreligion,MSN,Sunni Islam,114916,Deaf,301989,Deaf,C0252,Deaf,A017,Deaf Peoples,Not Available,Available,Available,Not Available,Available,Available,0,New Testament,2005,,,N,,,,
,,1104,Africa,East Africa,N/A,1104_Ethiopia,Ethiopia,East Africa,Asia Pacific,,,,,,Hararghe Oromo,,blank,ETH,Ethiopia,Europe,Eastern Africa,ET,AG400,CAP,,blank,,"250,000 - 499,999",,,,,2,"Less than 2% Evangelical, Concentrated CP Activity",this people group is less than 2% evangelical but there has been initial or concentrated church planting among them within the past two years,,,hae,Eastern Oromo,Indo-European,MOF,Islam - Folk,"folk Islam, a syncretistic belief system that blends traditional elements of Islam with superstitious practices such as warding off spirits with incantations and magic amulets, and reciting verses of the Qur'an to bring about miraculous healings.",Islam - Sunni_Africa,Other,O,Other,MOF,Folk Islam,104113,Ittu,303269,Ittu Oromo,C0164,Oromo,A004,Horn of Africa,,,,,,,4,Stories,2022,,,,,,,
,,2315,Europe,West Africa,^^ 20 = N/A,2315_Palestine,Palestine,Israel and Palestine,Latin America Caribbean,,,,,,"Arab, Palestinian",,,PSE,Palestine,Americas,Northern Africa,WB,AG300,SSAP,,,,"100,000 - 249,999",,,,,,,,,,apc,Levantine Arabic,Turkic,E,Ethnoreligion,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",Islam - Folk_Africa,Hinduism,H,Hinduism, , ,107785,"Arab, Palestinian",300415,"Arab, Palestinian",C0015,"Arab, Levant",A005,Persian-Median,,,,,,,5,Selections,2011,,,,,,,
,,1120,Latin America & Caribbean,North Asia,,1120_Sudan,Sudan,West Africa,Europe,,,,,,Gaaliin,,,SDN,Sudan,Oceania,Western Africa,SU,AG650,APAC,,,,"50,000 - 99,999",,,,,,,,,,apd,Sudanese Arabic,Niger-Congo,EAF,Ethnoreligion - African Traditional Religion,"African Traditional Religion, a collection of beliefs and practices unique to various African ethnic groups.",Ethnoreligion_Asia Pacific,Buddhism,B,Buddhism,EAF,African Traditional Religion,103097,Gaaliin,302467,Gaaliin,C0019,"Arab, Sudan",A015,Turkic Peoples,,,,,,,3,Bible,1906,,,,,,,
,,2322,Oceania,Central Africa,,2322_Morocco,Morocco,Northern Asia,,,,,,,"Arab, Tihama Yemeni",,,MAR,Morocco,,Eastern Asia,MO,AG500,ASAP,,,,"25,000 - 49,999",,,,,,,,,,acq,Ta’izzi-Adeni Arabic,Sino-Tibetan,ECF,Ethnoreligion - Chinese Folk Religion,"Chinese folk religion, a complex mix of beliefs and practices that includes elements of Buddhism, Taoism and ancestor veneration.",Ethnoreligion - African Traditional Religion_Africa,Secular,N,Unaffiliated,ECF,Chinese Folk Religion,110053,"Arab, Tihami",305601,Moor,C0014,"Arab, Hassaniya",A013,Sub-Saharan African,,,,,,,1,,2024,,,,,,,
,,2311,N/A,South Europe,,2311_Libya,Libya,Central Africa,,,,,,,White Moor,,,LBY,Libya,,Middle Africa,LY,AG100,EURO,,,,"10,000 - 24,999",,,,,,,,,,mey,Hassaniyya,Nilo-Saharan,OJA,Other - Jainism,"Jainism, an Indian religion that promotes non-violence towards all living beings and emphasizes the necessity of self-effort to move the soul towards divine consciousness and liberation.",Ethnoreligion - Chinese Folk Religion_Asia Pacific,Judaism,J,Judaism,OJA,Jainism,106417,Moor,300774,Baloch,C0031,Baloch,A011,Southeast Asian Peoples,,,,,,,6,,-,,,,,,,
,,2318,North America & Non-Spanish Caribbean,Southern Africa,,2318_Iraq,Iraq,India,,,,,,,"Baloch, Eastern",,,IRQ,Iraq,,Eastern Europe,IZ,AG800,AMP,,,,"less than 10,000",,,,,,,,,,bgp,Eastern Balochi,Kra-Dai,EAN,Ethnoreligion - Animism,"animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.",Ethnoreligion_Africa,Unknown,U,Unknown,EAN,Animism,102830,"Baluchi, Eastern",300409,"Arab, Libyan",C0016,"Arab, Libyan",A012,South Asian Peoples,,,,,,,,,2020,,,,,,,
,,1305,,East Europe,,1305_Burkina Faso,Burkina Faso,Southern Africa,,,,,,,"Arab, Libyan",,,BFA,Burkina Faso,,South-Eastern Asia,UV,,,,,,,,,,,,,,,,ayl,Libyan Arabic, ,H,Hinduism,"Hinduism, the predominant religious tradition of the Indian subcontinent. There are many forms of Hinduism, each with its own deities and beliefs.",Other - Jainism_Eurasia,Sikhism,S,Sikhism,EPO,Polytheism,105948,"Arab, Libyan",309186,Turkmen (Iraq),C0221,Turkic,A003,Eurasian Peoples,,,,,,,,,2001,,,,,,,
,,3600,,South East Asia,,3600_Northern Asia,Northern Asia,Russia,,,,,,,Turkmen,,,CHN,China,,Southern Africa,CH,,,,,,,,,,,,,,,,tur,Turkish,Nakh-Daghestanian,EPO,Ethnoreligion - Polytheism,"polytheism, a belief in multiple deities that are often arranged as pantheons of gods or goddeses.",Ethnoreligion - Animism_Africa,,,,BMA,Mahayana Buddhism,118355,"Turkmen, Middle Eastern",303420,Jula,C0128,Malinke-Jula,A014,Tibetan / Himalayan Peoples,,,,,,,,,1999,,,,,,,
,,1121,,Islands of East Africa,,1121_South Sudan,South Sudan,Southeast Asia,,,,,,,Jula,,,SSD,South Sudan,,South America,OD,,,,,,,,,,,,,,,,dyu,Jula,Dravidian,BMA,Buddhism - Mahayana,"Mahayana Buddhism, the largest major tradition of Buddhism today.",Hinduism_Eurasia,,,,BTH,Theravada Buddhism,104323,Jula,302836,Guhayna,C0232,Yao-Mien,A008,Malay Peoples,,,,,,,,,2013,,,,,,,
