OBJECTID,ROP2,PeopleCluster,Description,Citation,Source,EditorComments,ROP1,AddDate,EditDate,Status
1,C0008,Albanian,"Albanians are a nation and ethnic group native to Albania and neighboring countries. They speak the Albanian language. More than half of all Albanians live in Albania and Kosovo. Albanians suffered until 1990 under one of the most repressive Communist regimes in Europe. All religions were banned. By the time the Communist government fell, the number of evangelicals had dwindled nearly to zero. Since then, mission activity both in Albania and Kosovo has seen significant response.","-- Patrick Johnstone, The Future of the Global Church, p. 189",Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
2,C0015,"Arab, Levant","The Levant Arab people cluster encompasses people groups that originate from the Fertile Crescent between the Persian Gulf and the Mediterranean--extending across Iraq, Syria, Jordan, Lebanon, Israel and the Palestinian territories. In AD 600, nearly all of the ancestors of these peoples were, at least nominally, Christian. Most have now become Muslim, though there are still significant Christian minorities among them. Ongoing geopolitical crises continue to complicate the evangelization of Levantine Arabs.","-- Patrick Johnstone, The Future of the Global Church, p. 182",Patrick Johnstone,None,A001,2003-10-30T00:00:00+00:00,2012-04-25T00:00:00+00:00,1
3,C0021,Armenian,"Armenians are a nation and ethnic group native to the Armenian Highland region of the Caucasus. Christianity began to spread across Armenia soon after the time of Christ, credited to the work of two apostles, St. Thaddeus and St. Bartholomew. In the early 4th century, the Kingdom of Armenia became the first nation to adopt Christianity as a state religion. Most Armenians today adhere to the Armenian Apostolic Church, the world's oldest national church.","-- Adrian Hastings, A World History of Christianity. London: Wm. B. Eerdmans Publishing Co. (1999), p. 289",Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-04-30T00:00:00+00:00,1
4,C0024,Atlantic,"Situated along a coastal strip stretching from the Senegal River down into Liberia some 750 miles away, the Atlantic people cluster encompasses a number of comparatively small ethnic groups who speak Senegalo-Guinean languages. These groups, varying in size from 250,000 to just a few hundred, are surrounded by the larger Fula, Wolof, and Mande peoples.","-- W. A. A. Wilson, ""Atlantic"", in The Niger-Congo Languages, Edited by John Bendor-Samuel. Lanham, Maryland: University Press (1989), pp. 81-83.",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-05-01T00:00:00+00:00,1
5,C0035,"Bantu, Makua-Yao","Bantu refers to a large, complex linguistic grouping of peoples in Africa. Makua and Yao are two large Bantu tribes of southern Tanzania and northern Mozambique. Some ethnologists consider the Makua to be a subgroup of the Yao. Until the colonial conquest of the nineteenth century, the Yao were known widely as traders who exchanged ivory, slaves, beeswax, tobacco, guns, gunpowder, beads, and cloth between Arab and Swahili traders on the East African coast and interior ethnic groups.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). Pp. 361, 602-602.",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
6,C0042,Beja,"The Beja are one of the major ethnic groups of Sudan, Eritrea, and western Ethiopia. Savage wars in the 1970s and 1980s drove most of the Eritrean Beja into Sudan. There are also tens of thousands of Beja in southern Egypt. The Beja are divided into a number of groups and tribes. 

Those Beja living in the northern region make their living raising camels and sheep, as well as producing grains on a small scale; farther south they also raise cattle. The Beja living in the Gash and Tokar deltas of the Barka River are commercial and subsistence farmers, raising cotton and grain. Most Beja are Muslims, but their indigenous, animistic traditions still have a powerful hold on the people.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), p. 85",Patrick Johnstone,None,A004,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
7,C0061,Caucasus,"The two great mountain ranges of the Caucasus lie between the Black Sea and the Baltic and have long been considered the boundary between Europe and Asia. Their high peaks and deep valleys have provided a refuge for peoples from many different ethnic backgrounds, and have also permitted the development of numerous local languages and dialects. The Caucasus people groups are the least evangelized in Eurasia.","-- Patrick Johnstone, The Future of the Global Church, p. 189",Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
8,C0065,Chinese,"The Chinese inhabit the fertile and densely populated eastern half of present-day China. For most of recorded history, the peoples of this land have been great thinkers, inventors and innovators. Over three millennia, a wide range of other peoples have gradually been absorbed into the main Han Chinese population--a process that continues today. Many different Han languages are spoken in the south of the country, but all of them use the same script.","-- Patrick Johnstone, The Future of the Global Church, p. 184",Patrick Johnstone,None,A002,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
9,C0066,Chinese-Hui,"The Hui are descendants of soldiers and traders, first Arab and then Persian, who settled in China after the eastward advance of the Muslim armies died out in the northwest quadrant of the country. They intermarried with the Chinese but retained their Muslim faith. Today, these Chinese Muslims are scattered all over China.","-- Patrick Johnstone, The Future of the Global Church, p. 184",Patrick Johnstone,None,A002,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
10,C0077,Fulani / Fulbe,"The Fulbe are also known as the Fulani Nigeria, the Fula or, in Francophone West Africa, the Peul. They are a cluster of people groups who have a unique culture and value system. Their origins are obscure, but their generally lighter skin color indicates a mixture of races. They emerged in the region of what is now Senegal, but spread east across the Sahel. Their language is West African and links them to the Bantu peoples.  Sunni Islam is practiced by most of the people groups within this cluster.","-- Patrick Johnstone, The Future of the Global Church, p. 176",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
