OBJECTID,ROP25,KinshipGroup,Description,ROP2,Status,AddDate,EditDate
1,309363,Kamda,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-26T00:00:00+00:00,2024-01-26T00:00:00+00:00
2,309364,Antiti,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-26T00:00:00+00:00,2024-01-26T00:00:00+00:00
3,309366,Dajo,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2025-01-03T00:00:00+00:00
4,309375,Talodi,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-08T00:00:00+00:00,2024-02-08T00:00:00+00:00
5,309376,Trawing,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-08T00:00:00+00:00,2024-02-08T00:00:00+00:00
6,309377,Kega-Alkheel,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-09T00:00:00+00:00,2024-02-09T00:00:00+00:00
7,309378,Kajakaja,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-09T00:00:00+00:00,2024-02-09T00:00:00+00:00
8,309379,Wadalka,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-09T00:00:00+00:00,2024-02-09T00:00:00+00:00
9,309380,Farla,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-20T00:00:00+00:00,2024-02-20T00:00:00+00:00
10,309381,Hijeraat,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-20T00:00:00+00:00,2024-02-20T00:00:00+00:00
11,309382,Kimla,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-20T00:00:00+00:00,2024-02-20T00:00:00+00:00
12,309383,Rashad,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-02-20T00:00:00+00:00,2024-02-20T00:00:00+00:00
13,309301,Alehemir,an indigenous Nuba Mountain people of Sudan,C0156,1,2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00
14,309302,Angolo,an indigenous Nuba Mountain people of Sudan,C0156,1,2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00
15,309303,Fanda,an indigenous Nuba Mountain people of Sudan,C0156,1,2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00
16,309304,Nyaro,an indigenous Nuba Mountain people of Sudan,C0156,1,2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00
