OBJECTID,PEID,PGID,Name,NmDisp,NmAlt,ISOalpha3,Ctry,Regn,RegnSub,ROG,AffCd,Aff,PeopleDesc,LocationDesc,Pop,PopCls,EvngPct,EvngLvl,CongExst,Plnting,EngStat,GSEC,GSECbrf,GSEClng,SPI,SPIdesc,LPI,LPIname,LPIdesc,ROL,Lang,LangFamily,LangClass,LangSpkrs,ROR,Rlgn,RlgnAdher,RORdesc,RlgnBs,ROR4,ROR3,RlgnDiv,ROP3,PplNm,ROP25,Ethne,ROP2,PplClstr,ROP1,Affbloc,Bible,Jesus,Radio,Gospel,Audio,Stories,ResTot,LvlBible,YrPub,PicCrdt,PicURL,Photo,Indigenous,Latitude,Longitude,PeopleSearch,UpdatedDate
,,PG050582,Italians,Italians,None,VAT,Vatican City,Europe,Southern Europe,VT,AG100,European Peoples,"a community of Italians mainly comprised of clergy, members of religious orders, and lay employees of the Vatican",,475,"less than 10,000",2.53,2% or Greater but Less than 5%,No,No Churches Planted,Unengaged,4,2% or Greater but Less than 5% Evangelical,this people group is greater than or equal to 2% evangelical,2,No Longer Unreached,3,Minimally Reached People Group,2% to 3% Evangelical,ita,Italian,Indo-European,"Indo-European, Italic, Romance, Italo-Western, Italo-Dalmatian",100,CRC,Christianity - Roman Catholicism,100,"Roman Catholicism, the largest branch of the Christian church and one of the oldest religious institutions in the world. Roman Catholicism teaches that it is the one true Church founded by Jesus Christ and that its bishops are the successors of Christ.",Christianity,CRC,C,Roman Catholicism,104096,Italian,303258,Italian,C0098,Italian,A003,Eurasian Peoples,Available,Available,Not Available,Available,Available,Not Available,4,None,None,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/woman-beauty-smile-happy-6084998/"">20257964 - Pixabay</a>",https://joshuaproject.net/assets/media/profiles/photos/p12273.jpg,Y,Indigenous,41.9035826,12.45627282,Italians of Vatican City (PG050582),2025-02-07T06:23:15.181+00:00
,,PG050586,Portuguese,Portuguese,Yue,MAC,Macao,Asia,Eastern Asia,MC,AG650,Asian Pacific Rim Peoples,an ethnic group of European ancestry indigenous to the nation of Portugal. The Portuguese community in Macau traces to its history as a Portuguese colony but has declined since the colony returned to Chinese control,Widespread,10000,"100,000 - 249,999",2.5,10% or Greater but Less than 15%,Yes,Concentrated Church Planting,Engaged,6,10% or Greater Evangelical,this people group is greater than or equal to 10% evangelical,0,Unengaged and Unreached,5,Moderately Reached People Group,6% to 20% Evangelical,por,Portuguese,Austronesian,"Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Portuguese-Galician",90,MSN,Islam - Sunni,80,"Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.",Islam,MSN,M,Sunni Islam,108129,Portuguese,306799,Portuguese,C0182,"Portuguese, European",A008,Malay Peoples,Not Available,Not Available,Available,Not Available,Not Available,Available,0,Bible,2018,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Diogo Mendes",https://joshuaproject.net/assets/media/profiles/photos/p14449.jpg,N,Diaspora,22.18688113,113.5346017,Portuguese of Macao (PG050586),2025-02-11T02:33:37.089+00:00
,,PG050589,Indonesian,Indonesians,"Macaense, 土生葡人, Maquista",HKG,Hong Kong,Africa,Eastern Africa,HK,AG900,Deaf Peoples,	an Austronesian ethnic community whose identity is shaped by their shared history and culture on the islands of Indonesia,Cologne and Berlin,140000,"25,000 - 49,999",10.07,15% or Greater but Less than 20%,,Dispersed Church Planting,,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",1,Engaged yet Unreached,1,Pioneer Unreached People Group,0.1% to 0.5% Evangelical,ind,Indonesian,Sino-Tibetan,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Malay",70,BTH,Buddhism - Theravada,83,"Theravada Buddhism, the oldest surviving branch of Buddhism.",Buddhism,BTH,B,Theravada Buddhism,114115,Indonesian,303205,Indonesian,C0123,Malay,A014,Tibetan / Himalayan Peoples,None,None,None,None,None,None,5,New Testament,2021,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/portrait-scarf-people-wear-hijab-3332334/"">Endho - Pixabay</a>",https://joshuaproject.net/assets/media/profiles/photos/p18503.jpg,,,22.27867989,114.1845829,Indonesians of Hong Kong (PG050589),2025-02-11T03:39:59.936+00:00
,,PG050594,Filipino,Filipinos,Pinoy,KEN,Kenya,Americas,Northern America,KE,AG300,Sub-Saharan African Peoples,"an Austronesian ethnic community of Tagalog-speaking people who are citizens of, or immigrants from, the Philippines",Most Tanzanians who have arrived since 1986 have chosen to settle in Chicago,32500,"250,000 - 499,999",18,Less than 2%,,,,0,"No Evangelicals, Churches or Resources","there are no evangelical Christians or churches among this people group and there is no access to evangelical print, audio, visual or human resources",,,0,Frontier Unreached People Group,< 0.1% Evangelical,tgl,Tagalog,Sign Language,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Tagalog",80,ECF,Ethnoreligion - Chinese Folk Religion,79,"Chinese folk religion, a complex mix of beliefs and practices that includes elements of Buddhism, Taoism and ancestor veneration.",Ethnoreligion,ECF,E,Chinese Folk Religion,109692,"Filipino, Tagalog",302416,Filipino,C0070,"Filipino, Central",A017,Deaf Peoples,,,,,,,3,Stories,2020,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://www.mysabah.com/wordpress/"">MySabah.com</a> Used with permission",https://joshuaproject.net/assets/media/profiles/photos/p15175.jpg,,,22.16059876,113.5700784,Filipinos of Macao (PG050594),2025-02-10T08:49:34.342+00:00
,,PG050596,Burmese,Burmese,Kinh,CAN,Canada,Oceania,Western Europe,CA,AG400,Central Asian Peoples,an ethnic Bamar community indigenous to Myanmar,mainly on the island of Saint Pierre,7900,"10,000 - 24,999",0.32,No Known Evangelicals,,,,5,5% or Greater but Less than 10% Evangelical,this people group is greater than or equal to 5% evangelical,,,4,Marginally Reached People Group,3% to 6% Evangelical,mya,Burmese,Atlantic-Congo,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Southern",60,E,Ethnoreligion,60,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",Hinduism,,H,1,101776,Burmese,301501,Burmese (Bhama),C0058,Burmese,A013,Sub-Saharan African,,,,,,,6,Selections,-,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous",https://joshuaproject.net/assets/media/profiles/photos/p11029.jpg,,,22.20417924,113.5462366,Burmese of Macao (PG050596),2025-02-10T08:49:56.734+00:00
,,PG050603,Deaf,Deaf Hongkongers,"Hokkien, Hoklo, Min Nan Ren, 閩南人",DEU,Germany,,Northern Africa,GM,AG200,Northern African and Middle Eastern Peoples,"a community of individuals who are culturally Deaf and actively participate in Deaf culture, often using sign language as their primary means of communication","the 'Southern Provinces' of Morocco, a region encompassing the coastal portions of Western Sahara not under Sahrawi Arab Democratic Republic (SADR) control",4800,"500,000 - 999,999",0,5% or Greater but Less than 10%,,,,2,"Less than 2% Evangelical, Concentrated CP Activity",this people group is less than 2% evangelical but there has been initial or concentrated church planting among them within the past two years,,,2,Expanding Unreached People Group,0.5% to 2% Evangelical,hks,Hong Kong Sign Language,Austroasiatic,"Sign language, Deaf community sign language",95,CNP,Christianity - Neo-Pentecostalism,0,"Neo-Pentecostalism, a movement characterized by manifestations in non-Pentecostal churches of what have been traditionally categorized as Pentecostal experiences, frequently combined with prosperity gospel theology.",Unaffiliated,CNP,N,Neo-Pentecostalism,114916,Deaf,301989,Deaf,C0252,Deaf,A002,East Asian Peoples,,,,,,,1,,2023,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Kate Nelson/AusAID - Wikimedia <a href=""https://tinyurl.com/89ffm33y"">Kate Nelson/AusAID - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p19007.jpg,,,22.27819894,114.1693027,Deaf Hongkongers of Hong Kong (PG050603),2025-05-07T11:14:12.175+00:00
,,PG050609,Jibana,Deaf Macanese,"Mainland Chinese, Mainlanders, Neidi ren, 内地人",USA,the United States,,South America,US,AG500,South Asian Peoples,"a tribal subgroup of the Mijikenda, a large Bantu ethnic group inhabiting the coastal region of Kenya",New Territories,43000,"50,000 - 99,999",13.84,40% or Greater but Less than 50%,,,,3,"Less than 2% Evangelical, Dispersed CP Activity",this people group is less than 2% evangelical but there has been dispersed church planting among them within the past two years,,,6,Significantly Reached People Group,> 20% Evangelical,nyf,Kigiryama,Southern Daly,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, E, Nyika-Taita (E.72)",75,CPR,Christianity - Protestantism,70,"Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.",Sikhism,CPR,S,Protestantism,104262,Jibana,303380,Jibana,C0267,"Bantu, East-Coastal",A011,Southeast Asian Peoples,,,,,,,2,,2022,"<div style=""font-size: 0.8em"">No photo available</div>",https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg,,,22.2116,113.55129,Deaf Macanese of Macao (PG050609),2025-05-07T11:12:53.607+00:00
,,PG014798,Rabai,Jibana Mijikenda,Giryama,SPM,Saint Pierre and Miquelon,,Southern Africa,SB,AG800,American Peoples,an ethnolinguistic subgroup of Han Chinese originating in the Pearl River Delta of southwestern China,primarily in Kowloon City and Sham Shui Po,142000,"1,000,00 - 2,499,999",16.69,20% or Greater but Less than 30%,,,,,,,,,,,,dug,Chiduruma,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, E, Nyika-Taita (E.73)",54,BOF,Buddhism - Folk,90,"folk Buddhism, a syncretistic blend of traditional Buddhist practices with elements of magic and superstition.",Other,BOF,O,Folk Buddhism,108250,Rabai,306885,Rabai,C0065,Chinese,A005,Persian-Median,,,,,,,,,2005,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Int'l Institute for Environment and Dev - Flickr <a href=""https://flickr.com/photos/iied/5683216851"">Int'l Institute for Environment and Dev - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by-nc/2.0/"">CC BY-NC 2.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p19608.jpg,,,-3.827033159,39.78662574,Jibana Mijikenda of Kenya (PG014798),2025-08-28T07:20:05.786+00:00
,,PG014846,Digo,Rabai Mijikenda,Tadzhik,ESH,Western Sahara,,Western Africa,WI,,,an ethnic group of mixed Portuguese and Cantonese descent whose identity originated in Portuguese Colonial Macau,Kowloon City,461000,"5,000,000 - 9,999,999",0.1,75% or Greater,,,,,,,,,,,,dig,Chidigo,Afro-Asiatic,"Sino-Tibetan, Chinese",64,EAF,Ethnoreligion - African Traditional Religion,50,"African Traditional Religion, a collection of beliefs and practices unique to various African ethnic groups.",Judaism,EAF,J,African Traditional Religion,102607,Digo,302101,Digo,C0171,Other Southeast Asian,A001,Arab World,,,,,,,,,2017,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://www.newcovenantmissions.org"">Erik Laursen, New Covenant Missions</a>",https://joshuaproject.net/assets/media/profiles/photos/p11557.jpg,,,-3.881743095,39.6477326,Rabai Mijikenda of Kenya (PG014846),2025-09-29T12:31:12.466+00:00
,,PG014780,Ribe,Digo Mijikenda,Tanzanian Americans,FLK,Falkland Islands (Islas Malvinas),,South-Eastern Asia,FK,,,an ethnic Kinh community indigenous to Vietnam,Yau Tsim Mong and Yuen Long areas,12000,"2,500,000 - 4,999,999",12,30% or Greater but Less than 40%,,,,,,,,,,,,coh,Chichonyi-Chidzihana-Chikauma,Tai-Kadai,"Austro-Asiatic, Mon-Khmer, Viet-Muong, Vietnamese",15,BMA,Buddhism - Mahayana,68,"Mahayana Buddhism, the largest major tradition of Buddhism today.",Unknown,BMA,U,Mahayana Buddhism,108375,Ribe,307011,Ribe,C0228,Vietnamese,A012,South Asian Peoples,,,,,,,,,2007,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://linkupafrica.com/peoples/rim/chonyi"">Link Up Africa</a>",https://joshuaproject.net/assets/media/profiles/photos/p11367.jpg,,,-4.172253743,39.56104486,Digo Mijikenda of Kenya (PG014780),2025-02-10T08:49:12.499+00:00
